Tempo: 210550 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 211550 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 215550 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 216550 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 219570 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 220570 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 224570 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 225570 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 228590 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 229590 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 233590 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 234590 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 237610 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 238610 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 242610 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 243610 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 246630 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 247630 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 251630 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 252630 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 255650 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 256650 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 260650 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 261650 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 264670 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 265670 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 269670 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 270670 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 273690 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 274690 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 278690 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 279690 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 282710 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 283710 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 287710 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 288710 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 291730 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 292730 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 296730 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 297730 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 300750 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 301750 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 305750 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 306750 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 309770 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 310770 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 314770 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 315770 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 318790 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 319790 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 323790 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 324790 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 327810 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 328810 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 332810 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 333810 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 336830 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 337830 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 341830 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 342830 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 345850 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 346850 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 350850 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 351850 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 354870 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 355870 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 359870 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 360870 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 363890 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 364890 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 368890 ns, Transição para -> Carros: 010, Pedestres: 001
